
time 01h 15m 28s, episodes 3534, frames 1.2M, mean epr 51.45, run loss 181.63
time 01h 16m 28s, episodes 3560, frames 1.2M, mean epr 53.47, run loss 189.12
time 01h 17m 29s, episodes 3597, frames 1.2M, mean epr 48.99, run loss 182.84
time 01h 18m 29s, episodes 3628, frames 1.3M, mean epr 48.74, run loss 184.74
time 01h 19m 30s, episodes 3670, frames 1.3M, mean epr 41.59, run loss 168.70
time 01h 20m 30s, episodes 3693, frames 1.3M, mean epr 41.98, run loss 171.37
time 01h 21m 30s, episodes 3725, frames 1.3M, mean epr 48.50, run loss 188.00
time 01h 22m 31s, episodes 3748, frames 1.3M, mean epr 47.76, run loss 188.46
time 01h 23m 31s, episodes 3771, frames 1.3M, mean epr 54.29, run loss 198.42
time 01h 24m 32s, episodes 3796, frames 1.4M, mean epr 71.11, run loss 226.95
time 01h 25m 32s, episodes 3819, frames 1.4M, mean epr 72.91, run loss 225.39
time 01h 26m 32s, episodes 3846, frames 1.4M, mean epr 79.10, run loss 233.69
time 01h 27m 32s, episodes 3880, frames 1.4M, mean epr 69.63, run loss 213.74
time 01h 28m 33s, episodes 3913, frames 1.4M, mean epr 60.41, run loss 198.09
time 01h 29m 33s, episodes 3935, frames 1.4M, mean epr 68.21, run loss 220.12
time 01h 30m 34s, episodes 3963, frames 1.5M, mean epr 69.77, run loss 226.00
time 01h 31m 34s, episodes 3991, frames 1.5M, mean epr 65.54, run loss 217.58
time 01h 32m 34s, episodes 4017, frames 1.5M, mean epr 66.84, run loss 221.74
time 01h 33m 34s, episodes 4044, frames 1.5M, mean epr 67.25, run loss 222.22
time 01h 34m 35s, episodes 4067, frames 1.5M, mean epr 65.08, run loss 219.82
time 01h 35m 35s, episodes 4103, frames 1.5M, mean epr 64.79, run loss 213.18
time 01h 36m 35s, episodes 4137, frames 1.6M, mean epr 54.28, run loss 186.23
time 01h 37m 35s, episodes 4162, frames 1.6M, mean epr 53.51, run loss 187.66
time 01h 38m 35s, episodes 4192, frames 1.6M, mean epr 53.71, run loss 190.49
time 01h 39m 36s, episodes 4222, frames 1.6M, mean epr 56.64, run loss 197.70
time 01h 40m 36s, episodes 4255, frames 1.6M, mean epr 53.03, run loss 193.78
time 01h 41m 37s, episodes 4288, frames 1.7M, mean epr 48.28, run loss 180.92
time 01h 42m 37s, episodes 4319, frames 1.7M, mean epr 53.06, run loss 193.95
time 01h 43m 37s, episodes 4325, frames 1.7M, mean epr 54.38, run loss 195.35
time 01h 44m 38s, episodes 4368, frames 1.7M, mean epr 43.99, run loss 167.34
time 01h 45m 38s, episodes 4398, frames 1.7M, mean epr 44.66, run loss 171.38
time 01h 46m 38s, episodes 4426, frames 1.7M, mean epr 55.81, run loss 196.88
time 01h 47m 39s, episodes 4457, frames 1.7M, mean epr 53.98, run loss 193.84
time 01h 48m 39s, episodes 4481, frames 1.8M, mean epr 56.40, run loss 201.90
time 01h 49m 39s, episodes 4515, frames 1.8M, mean epr 56.54, run loss 193.80
time 01h 50m 39s, episodes 4551, frames 1.8M, mean epr 51.77, run loss 181.87
time 01h 51m 39s, episodes 4579, frames 1.8M, mean epr 50.73, run loss 178.13
time 01h 52m 39s, episodes 4612, frames 1.8M, mean epr 46.08, run loss 169.16
time 01h 53m 40s, episodes 4641, frames 1.8M, mean epr 51.67, run loss 180.25
time 01h 54m 40s, episodes 4665, frames 1.9M, mean epr 53.53, run loss 184.16
time 01h 55m 40s, episodes 4699, frames 1.9M, mean epr 59.45, run loss 198.60
time 01h 56m 40s, episodes 4723, frames 1.9M, mean epr 56.04, run loss 196.95
time 01h 57m 41s, episodes 4754, frames 1.9M, mean epr 54.61, run loss 196.24
time 01h 58m 42s, episodes 4782, frames 1.9M, mean epr 53.92, run loss 195.35
time 01h 59m 42s, episodes 4812, frames 1.9M, mean epr 49.64, run loss 188.50
time 02h 00m 43s, episodes 4842, frames 2.0M, mean epr 51.36, run loss 187.97
time 02h 01m 43s, episodes 4873, frames 2.0M, mean epr 53.47, run loss 184.56
time 02h 02m 44s, episodes 4903, frames 2.0M, mean epr 50.51, run loss 180.14

	2M frames: saved model

time 02h 03m 44s, episodes 4933, frames 2.0M, mean epr 53.59, run loss 189.38
time 00h 01m 00s, episodes 63, frames 2.0M, mean epr 0.00, run loss -5.83
time 00h 02m 01s, episodes 134, frames 2.0M, mean epr 0.00, run loss -4.34
time 00h 03m 01s, episodes 181, frames 2.1M, mean epr 0.00, run loss -4.10
time 00h 04m 01s, episodes 223, frames 2.1M, mean epr 0.00, run loss -4.49
time 00h 01m 00s, episodes 10, frames 2.0M, mean epr 0.00, run loss 0.12
time 00h 02m 00s, episodes 66, frames 2.0M, mean epr 0.00, run loss -0.84
